Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
0.1, 0.00, 0.00, 0.00, 0.00, 0.071918, 0.037278, 0.052602, 0.037278, 0.037278, 0.037278, 0.042775, 0.037278, 0.071907, 0.130371, 0.000000, 0.00, 0.00, 0.00, 0.00
0.2, 0.00, 0.00, 0.00, 0.00, 0.037278, 0.037278, 0.048272, 0.037278, 0.107368, 0.037278, 0.037278, 0.037278, 0.081829, 0.068924, 0.000000, 9.28, 9.60, 9.98, 0.06
0.3, 0.00, 0.00, 0.00, 0.00, 0.141196, 0.037278, 0.141196, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.076247, 0.150440, 0.000000, 18.75, 19.52, 19.46, 0.13
0.4, 0.01, 0.00, 0.00, 0.00, 0.037278, 0.034422, 0.175835, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.076247, 0.113158, 0.000000, 27.58, 30.34, 28.74, 0.19
0.5, 0.01, 0.00, 0.00, 0.00, 0.037278, 0.037278, 0.071918, 0.037278, 0.037278, 0.037278, 0.035564, 0.037278, 0.073259, 0.184495, 0.000000, 37.70, 40.51, 37.38, 0.26
0.6, 0.02, 0.00, 0.00, 0.00, 0.127344, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.131556, 0.035451, 0.076247, 0.076247, 0.000000, 46.46, 50.37, 47.81, 0.06
0.7, 0.02, 0.00, 0.00, 0.00, 0.037278, 0.037278, 0.141196, 0.037278, 0.037278, 0.035895, 0.037278, 0.037278, 0.103840, 0.224155, 0.000000, 55.94, 58.50, 59.07, 0.38
0.8, 0.02, 0.00, 0.00, 0.00, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 0.076247, 0.076247, 0.000000, 64.77, 68.29, 69.57, 0.00
0.9, 0.03, 0.00, 0.00, 0.00, 0.037278, 0.032348, 0.037278, 0.033911, 0.227714, 0.037278, 0.279753, 0.033911, 0.076247, 0.076247, 0.000000, 73.54, 77.50, 80.32, 0.45
1.0, 0.03, 0.00, 0.00, 0.00, 0.037278, 0.037278, 0.052762, 0.037278, 0.037278, 0.037278, 0.087402, 0.037278, 0.184495, 0.174707, 0.000000, 84.22, 86.14, 89.98, 0.58
