Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
0.1, 0.00, 0.00, 0.00, 0.00, 0.071918, 0.037278, 0.052602, 0.037278, 0.037278, 0.037278, 0.042775, 0.037278, 0.071907, 0.130371, 0.000000, 0.00, 0.00, 0.00, 0.00
0.2, 0.00, 0.00, 0.00, 0.00, 0.044669, 0.054734, 0.058827, 0.037278, 0.047309, 0.044466, 0.054734, 0.037278, 0.130371, 0.076247, 0.000000, 9.28, 9.60, 9.98, 0.06
0.3, 0.00, 0.00, 0.00, 0.00, 0.037134, 0.033007, 0.046505, 0.037278, 0.054429, 0.037278, 0.151649, 0.037278, 0.108553, 0.220927, 0.000000, 23.04, 24.64, 23.62, 0.13
0.4, 0.00, 0.00, 0.00, 0.00, 0.104470, 0.038837, 0.175835, 0.036000, 0.048245, 0.071918, 0.137394, 0.034150, 0.270816, 0.248760, 0.000000, 41.98, 44.67, 42.75, 0.06
0.5, 0.00, 0.00, 0.00, 0.00, 0.036616, 0.105094, 0.181164, 0.037278, 0.057296, 0.037046, 0.208918, 0.037278, 0.228438, 0.209312, 0.000000, 60.86, 63.49, 64.32, 0.00
0.6, 0.00, 0.00, 0.00, 0.00, 0.054433, 0.032403, 0.199990, 0.037278, 0.037278, 0.069061, 0.104227, 0.037278, 0.198366, 0.252670, 0.000000, 79.55, 82.62, 86.46, 0.13
0.7, 0.00, 0.00, 0.00, 0.00, 0.071870, 0.071886, 0.246341, 0.037278, 0.071314, 0.037278, 0.191613, 0.031696, 0.252780, 0.227128, 0.000000, 97.34, 101.50, 104.32, 0.19
0.8, 0.00, 0.00, 0.00, 0.00, 0.037278, 0.072459, 0.304068, 0.037278, 0.037278, 0.067183, 0.314042, 0.034509, 0.121613, 0.242564, 0.000000, 115.52, 121.41, 125.50, 0.45
0.9, 0.00, 0.00, 0.00, 0.00, 0.037278, 0.035491, 0.377402, 0.036256, 0.037278, 0.106557, 0.282892, 0.037278, 0.088481, 0.128554, 0.000000, 134.14, 140.22, 144.96, 0.38
1.0, 0.00, 0.00, 0.01, 0.00, 0.037278, 0.037278, 0.153656, 0.037278, 0.037278, 0.037278, 0.078347, 0.037278, 0.076247, 0.098366, 0.000000, 152.26, 156.74, 161.47, 0.51
1.1, 0.01, 0.00, 0.01, 0.00, 0.037278, 0.037278, 0.149269, 0.034326, 0.032049, 0.037278, 0.211166, 0.037278, 0.218782, 0.251809, 0.000000, 170.82, 173.95, 179.97, 0.38
1.2, 0.01, 0.00, 0.00, 0.00, 0.037167, 0.028034, 0.088862, 0.037278, 0.080035, 0.037278, 0.104970, 0.032518, 0.221879, 0.261451, 0.000000, 189.76, 193.47, 199.10, 0.45
1.3, 0.01, 0.00, 0.01, 0.00, 0.081774, 0.035401, 0.314145, 0.037278, 0.035698, 0.037278, 0.134903, 0.034323, 0.095939, 0.238619, 0.000000, 207.94, 211.39, 218.11, 0.58
1.4, 0.01, 0.00, 0.01, 0.00, 0.037278, 0.037278, 0.340920, 0.037278, 0.037278, 0.037278, 0.292436, 0.037278, 0.076247, 0.129018, 0.000000, 226.11, 230.59, 236.42, 0.45
1.5, 0.01, 0.01, 0.01, 0.00, 0.037278, 0.037278, 0.211618, 0.037278, 0.094118, 0.035101, 0.353208, 0.037278, 0.127805, 0.180438, 0.000000, 244.16, 249.15, 256.32, 0.38
1.6, 0.01, 0.01, 0.01, 0.00, 0.037278, 0.037278, 0.377115, 0.037278, 0.032382, 0.141082, 0.329840, 0.037278, 0.076247, 0.112819, 0.000000, 262.40, 267.46, 273.60, 0.45
1.7, 0.01, 0.01, 0.01, 0.00, 0.037278, 0.094456, 0.246365, 0.033914, 0.032420, 0.037278, 0.054772, 0.037278, 0.184495, 0.237271, 0.000000, 281.28, 285.70, 292.03, 0.38
1.8, 0.01, 0.01, 0.01, 0.00, 0.037278, 0.037278, 0.253507, 0.037278, 0.037278, 0.115373, 0.268439, 0.035313, 0.181021, 0.291548, 0.000000, 301.25, 306.30, 312.13, 0.45
1.9, 0.01, 0.01, 0.01, 0.00, 0.035176, 0.035214, 0.545937, 0.037278, 0.037278, 0.030877, 0.248055, 0.035214, 0.283556, 0.193681, 0.000000, 320.83, 327.87, 330.69, 0.38
2.0, 0.01, 0.01, 0.01, 0.00, 0.096624, 0.037278, 0.258054, 0.037278, 0.035285, 0.037278, 0.488108, 0.032726, 0.292742, 0.282895, 0.000000, 340.54, 346.62, 349.70, 0.51
2.1, 0.01, 0.01, 0.01, 0.00, 0.037278, 0.037278, 0.547382, 0.037278, 0.037278, 0.037278, 0.090357, 0.037278, 0.087137, 0.227287, 0.000000, 360.00, 366.27, 366.46, 0.32
2.2, 0.01, 0.01, 0.02, 0.00, 0.033237, 0.143361, 0.596163, 0.037278, 0.093291, 0.037278, 0.350788, 0.037278, 0.091673, 0.225651, 0.000000, 377.34, 385.60, 385.54, 0.83
2.3, 0.02, 0.01, 0.02, 0.00, 0.037278, 0.037278, 0.091753, 0.037278, 0.037278, 0.037278, 0.680766, 0.037278, 0.123315, 0.178278, 0.000000, 395.01, 404.54, 404.80, 0.83
2.4, 0.02, 0.02, 0.02, 0.00, 0.037278, 0.037278, 0.386277, 0.037278, 0.037278, 0.037278, 0.573631, 0.037278, 0.279165, 0.238619, 0.000000, 414.53, 425.22, 424.26, 1.09
2.5, 0.01, 0.02, 0.02, 0.00, 0.037278, 0.037278, 0.454926, 0.037278, 0.183594, 0.173165, 0.363704, 0.037278, 0.224824, 0.218454, 0.000000, 432.77, 444.35, 442.18, 0.77
2.6, 0.02, 0.02, 0.02, 0.00, 0.037278, 0.183074, 0.077049, 0.037278, 0.037278, 0.037278, 0.263252, 0.037278, 0.184495, 0.183192, 0.000000, 450.62, 462.53, 461.06, 1.02
2.7, 0.01, 0.02, 0.02, 0.00, 0.037278, 0.219164, 0.800712, 0.037278, 0.037278, 0.037278, 0.235265, 0.037278, 0.076247, 0.076247, 0.000000, 470.27, 480.70, 479.42, 0.58
2.8, 0.01, 0.02, 0.02, 0.00, 0.037278, 0.189455, 0.037278, 0.037278, 0.037278, 0.037278, 0.321569, 0.037278, 0.250657, 0.168945, 0.000000, 487.74, 498.05, 498.37, 0.77
2.9, 0.02, 0.02, 0.02, 0.00, 0.037278, 0.037278, 0.768403, 0.037278, 0.037278, 0.037278, 0.146092, 0.037278, 0.133585, 0.264073, 0.000000, 508.10, 515.78, 515.46, 0.58
3.0, 0.02, 0.02, 0.02, 0.00, 0.037278, 0.037278, 0.418580, 0.037278, 0.200704, 0.143902, 0.455504, 0.037278, 0.209593, 0.076247, 0.000000, 527.23, 533.89, 533.44, 0.77
3.1, 0.02, 0.02, 0.03, 0.00, 0.037278, 0.033354, 0.097853, 0.037278, 0.102705, 0.035480, 0.451449, 0.037278, 0.235171, 0.126924, 0.000000, 545.47, 552.96, 549.12, 0.77
3.2, 0.02, 0.02, 0.03, 0.00, 0.037278, 0.037278, 0.413510, 0.037278, 0.037278, 0.033735, 0.324186, 0.037278, 0.182099, 0.292742, 0.000000, 563.26, 572.42, 565.70, 1.09
3.3, 0.02, 0.02, 0.02, 0.00, 0.149775, 0.037278, 0.621044, 0.037278, 0.037278, 0.037278, 0.033916, 0.034030, 0.076247, 0.076247, 0.000000, 580.61, 591.55, 584.13, 1.47
