Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
0.1, 0.00, 0.00, 0.00, 0.00, 0.487588, 0.314392, 0.383376, 0.314392, 0.314392, 0.314392, 0.350049, 0.314392, 0.509237, 0.779856, 0.000000, 0.00, 0.00, 0.00, 0.00
0.2, 0.00, 0.00, 0.00, 0.00, 0.368877, 0.402481, 0.466673, 0.309459, 0.345290, 0.371306, 0.402481, 0.314392, 0.902703, 1.160398, 0.000000, 1.73, 1.92, 2.05, 0.06
0.3, 0.00, 0.00, 0.00, 0.00, 0.314392, 0.314392, 0.452662, 0.314392, 0.399442, 0.465334, 0.978813, 0.314392, 0.838866, 0.783369, 0.000000, 5.06, 5.12, 6.27, 0.06
0.4, 0.00, 0.00, 0.00, 0.00, 0.314392, 0.314392, 0.998535, 0.403193, 0.487588, 0.442801, 1.022023, 0.314392, 1.048938, 1.090617, 0.000000, 8.77, 9.28, 9.60, 0.19
0.5, 0.00, 0.00, 0.00, 0.00, 0.665331, 0.314392, 1.397651, 0.314392, 0.584656, 0.490294, 0.627779, 0.335454, 1.418548, 1.319606, 0.000000, 13.63, 13.70, 13.63, 0.13
0.6, 0.00, 0.00, 0.00, 0.00, 0.314392, 0.311903, 1.077286, 0.314392, 0.314392, 0.314392, 1.422417, 0.314392, 1.313028, 1.238032, 0.000000, 17.79, 18.50, 18.43, 0.19
0.7, 0.00, 0.00, 0.00, 0.00, 0.312811, 0.665354, 1.502917, 0.312853, 0.314392, 0.661430, 1.665655, 0.314392, 0.815094, 1.175573, 0.000000, 22.53, 23.81, 23.17, 0.51
0.8, 0.00, 0.00, 0.00, 0.00, 0.314392, 0.314392, 2.362283, 0.490294, 0.312982, 0.314392, 0.965107, 0.314392, 1.434753, 1.582902, 0.000000, 26.75, 29.12, 27.65, 0.38
0.9, 0.00, 0.00, 0.00, 0.00, 0.314392, 0.314392, 1.499253, 0.314392, 0.314392, 0.517718, 2.470274, 0.314392, 1.391759, 1.588831, 0.000000, 31.62, 34.50, 32.06, 0.45
1.0, 0.01, 0.00, 0.00, 0.00, 0.791259, 0.348564, 0.995174, 0.314392, 0.314392, 0.314392, 2.045370, 0.314392, 1.407919, 1.591711, 0.000000, 36.67, 39.10, 36.48, 0.38
1.1, 0.01, 0.01, 0.00, 0.00, 0.332540, 0.314392, 1.177626, 0.314392, 0.740168, 0.842098, 2.247680, 0.314392, 1.534986, 1.075039, 0.000000, 41.02, 43.39, 41.73, 0.58
1.2, 0.01, 0.01, 0.01, 0.00, 0.333463, 0.314392, 1.460137, 0.777693, 0.444885, 0.314392, 1.082249, 0.314392, 0.509237, 1.193286, 0.000000, 44.99, 48.00, 45.89, 0.64
1.3, 0.01, 0.01, 0.01, 0.01, 0.314392, 0.314392, 1.461541, 0.752269, 0.314392, 0.314392, 0.708301, 0.524183, 1.591711, 1.591711, 0.000000, 49.09, 51.97, 50.69, 0.51
1.4, 0.01, 0.01, 0.01, 0.01, 0.314392, 1.018000, 0.660784, 0.624807, 0.314392, 1.018000, 2.622379, 0.314392, 1.469642, 1.459251, 0.000000, 52.86, 56.06, 55.94, 0.96
1.5, 0.01, 0.01, 0.01, 0.01, 0.539964, 0.314392, 1.470452, 0.842098, 0.314392, 0.836923, 1.875385, 0.314392, 1.318387, 1.250401, 0.000000, 57.09, 59.65, 61.12, 0.77
1.6, 0.01, 0.01, 0.01, 0.01, 0.314392, 0.725598, 3.905791, 0.314392, 0.450545, 0.314392, 0.791204, 1.018000, 0.617795, 1.266814, 0.000000, 61.57, 64.06, 65.15, 0.45
1.7, 0.01, 0.01, 0.01, 0.01, 0.768524, 0.314392, 3.923060, 1.018000, 0.314392, 0.558068, 2.464307, 0.314392, 1.515655, 1.421416, 0.000000, 65.09, 68.48, 70.14, 0.58
1.8, 0.02, 0.01, 0.01, 0.01, 0.314392, 0.314392, 1.402981, 0.314392, 0.744990, 1.144351, 4.008655, 0.314392, 1.591711, 1.426959, 0.000000, 69.31, 72.38, 75.01, 0.45
1.9, 0.02, 0.02, 0.01, 0.01, 0.314180, 0.314392, 2.806573, 0.314392, 0.314392, 0.780934, 0.930666, 0.314392, 0.765872, 0.683955, 0.000000, 73.15, 77.06, 79.94, 0.90
