Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
0.1, 0.02, 0.02, 0.02, 0.02, 0.103918, 0.069278, 0.084602, 0.069278, 0.069278, 0.069278, 0.074775, 0.069278, 0.103907, 0.162371, 0.000011, 0.00, 0.00, 0.00, 0.00
0.2, 0.02, 0.02, 0.02, 0.02, 0.076669, 0.086734, 0.090827, 0.069278, 0.079309, 0.076466, 0.086734, 0.069278, 0.162371, 0.108247, 0.001082, 9.28, 9.60, 9.98, 0.06
0.3, 0.02, 0.02, 0.02, 0.02, 0.069134, 0.065007, 0.078505, 0.069278, 0.086429, 0.069278, 0.183649, 0.069278, 0.140553, 0.252927, 0.001082, 23.04, 24.64, 23.62, 0.13
0.4, 0.02, 0.02, 0.02, 0.02, 0.104254, 0.077863, 0.231103, 0.103918, 0.099094, 0.103918, 0.191644, 0.104459, 0.310773, 0.289353, 0.001082, 41.98, 44.67, 42.75, 0.06
0.5, 0.02, 0.02, 0.02, 0.02, 0.069278, 0.069278, 0.144612, 0.069278, 0.069278, 0.069278, 0.133771, 0.069278, 0.158085, 0.285004, 0.001082, 59.33, 61.95, 62.98, 0.38
0.6, 0.02, 0.02, 0.02, 0.02, 0.100439, 0.069278, 0.187466, 0.065598, 0.085566, 0.069278, 0.191986, 0.069278, 0.169241, 0.193617, 0.001082, 76.48, 80.00, 83.52, 0.26
0.7, 0.02, 0.02, 0.02, 0.02, 0.064572, 0.069278, 0.309552, 0.100791, 0.069278, 0.069278, 0.144076, 0.069278, 0.139021, 0.183624, 0.001082, 96.00, 99.46, 102.34, 0.38
0.8, 0.02, 0.02, 0.02, 0.02, 0.069278, 0.069278, 0.278737, 0.065111, 0.069278, 0.068737, 0.239234, 0.068044, 0.214947, 0.213880, 0.001082, 112.83, 117.95, 122.11, 0.51
0.9, 0.02, 0.02, 0.02, 0.02, 0.066673, 0.069278, 0.230123, 0.064469, 0.064854, 0.068236, 0.214090, 0.069278, 0.157964, 0.242790, 0.001082, 132.16, 138.43, 142.85, 0.32
1.0, 0.02, 0.02, 0.02, 0.02, 0.108653, 0.068439, 0.369084, 0.067660, 0.064345, 0.069278, 0.105929, 0.136422, 0.103918, 0.224424, 0.001082, 154.43, 158.53, 162.56, 0.58
1.1, 0.02, 0.02, 0.02, 0.02, 0.139639, 0.063029, 0.368505, 0.097645, 0.122866, 0.069278, 0.343828, 0.138557, 0.319227, 0.243127, 0.001082, 175.55, 177.47, 184.19, 0.45
1.2, 0.02, 0.02, 0.02, 0.02, 0.069278, 0.080368, 0.274731, 0.069278, 0.069278, 0.069278, 0.377689, 0.069024, 0.216586, 0.162371, 0.001082, 195.33, 198.59, 204.29, 0.58
1.3, 0.02, 0.02, 0.02, 0.03, 0.173196, 0.069278, 0.306978, 0.114742, 0.069278, 0.069278, 0.355354, 0.174820, 0.108247, 0.253315, 0.001082, 216.51, 221.38, 227.46, 0.51
1.4, 0.02, 0.02, 0.02, 0.02, 0.069278, 0.069278, 0.217804, 0.092732, 0.092910, 0.122861, 0.297872, 0.064827, 0.145300, 0.216495, 0.001082, 237.70, 241.41, 248.83, 0.96
1.5, 0.02, 0.03, 0.02, 0.02, 0.069278, 0.069278, 0.472720, 0.090086, 0.096116, 0.069278, 0.425619, 0.069278, 0.280765, 0.187397, 0.001082, 258.75, 263.74, 269.82, 0.83
1.6, 0.02, 0.02, 0.03, 0.02, 0.069278, 0.069278, 0.233599, 0.069278, 0.069278, 0.065640, 0.327483, 0.172266, 0.286461, 0.269085, 0.001082, 280.45, 284.29, 289.92, 0.70
1.7, 0.02, 0.02, 0.03, 0.03, 0.064862, 0.068690, 0.246620, 0.121949, 0.097631, 0.089570, 0.389057, 0.118238, 0.284296, 0.309913, 0.001082, 300.74, 305.22, 310.98, 0.58
1.8, 0.03, 0.02, 0.03, 0.03, 0.117311, 0.140180, 0.518886, 0.164873, 0.117289, 0.145417, 0.196990, 0.064496, 0.223301, 0.212074, 0.001082, 322.11, 328.70, 331.46, 0.58
1.9, 0.03, 0.03, 0.03, 0.02, 0.069278, 0.069278, 0.195907, 0.064878, 0.069278, 0.069278, 0.179987, 0.085500, 0.231012, 0.297680, 0.001082, 345.22, 350.27, 353.54, 0.90
2.0, 0.02, 0.02, 0.03, 0.02, 0.069278, 0.069278, 0.107335, 0.068394, 0.069278, 0.139639, 0.161018, 0.148751, 0.108247, 0.108247, 0.001082, 366.53, 372.29, 371.71, 0.70
2.1, 0.02, 0.02, 0.03, 0.03, 0.069278, 0.069278, 0.527201, 0.174820, 0.170266, 0.115183, 0.207015, 0.069278, 0.274064, 0.235138, 0.001082, 385.02, 392.96, 392.38, 1.02
2.2, 0.03, 0.02, 0.03, 0.03, 0.069278, 0.149188, 0.469501, 0.067810, 0.065882, 0.069278, 0.172056, 0.149548, 0.321582, 0.281324, 0.001082, 404.48, 415.49, 414.46, 0.70
